@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
61,239,0,109,334,0.24605,1,0.686782,1,0.313218,0.81431,0.510264,1.95977,0.033574
62,239,0,108,335,0.243792,1,0.688761,1,0.311239,0.8157,0.508798,1.965418,0.03492
63,239,0,107,336,0.241535,1,0.690751,1,0.309249,0.817094,0.507331,1.971098,0.034997
64,239,0,106,337,0.239278,1,0.692754,1,0.307246,0.818493,0.505865,1.976812,0.035583
65,239,0,105,338,0.23702,1,0.694767,1,0.305233,0.819897,0.504399,1.982558,0.036308
66,239,0,104,339,0.234763,1,0.696793,1,0.303207,0.821306,0.502933,1.988338,0.036751
67,239,0,103,340,0.232506,1,0.69883,1,0.30117,0.822719,0.501466,1.994152,0.037825
68,239,0,102,341,0.230248,1,0.70088,1,0.29912,0.824138,0.5,2,0.03785
69,239,0,101,342,0.227991,1,0.702941,1,0.297059,0.825561,0.498534,2.005882,0.03788
70,239,0,100,343,0.225734,1,0.705015,1,0.294985,0.82699,0.497067,2.011799,0.038545
71,239,0,99,344,0.223476,1,0.707101,1,0.292899,0.828423,0.495601,2.017751,0.039707
72,239,0,97,346,0.218962,1,0.71131,1,0.28869,0.831304,0.492669,2.029762,0.041055
73,239,0,95,348,0.214447,1,0.715569,1,0.284431,0.834206,0.489736,2.041916,0.041102
74,239,0,94,349,0.21219,1,0.717718,1,0.282282,0.835664,0.48827,2.048048,0.042215
75,239,0,93,350,0.209932,1,0.71988,1,0.28012,0.837128,0.486804,2.054217,0.042742
76,239,0,92,351,0.207675,1,0.722054,1,0.277946,0.838596,0.485337,2.060423,0.044079
77,239,0,91,352,0.205418,1,0.724242,1,0.275758,0.84007,0.483871,2.066667,0.044649
78,239,0,89,354,0.200903,1,0.728659,1,0.271341,0.843034,0.480938,2.079268,0.045006
79,239,0,88,355,0.198646,1,0.730887,1,0.269113,0.844523,0.479472,2.085627,0.046611
80,239,0,87,356,0.196388,1,0.733129,1,0.266871,0.846018,0.478006,2.092025,0.047592
81,239,0,86,357,0.194131,1,0.735385,1,0.264615,0.847518,0.47654,2.098462,0.047683
82,239,0,85,358,0.191874,1,0.737654,1,0.262346,0.849023,0.475073,2.104938,0.048153
83,239,0,84,359,0.189616,1,0.739938,1,0.260062,0.850534,0.473607,2.111455,0.048239
84,239,0,83,360,0.187359,1,0.742236,1,0.257764,0.85205,0.472141,2.118012,0.04957
85,239,0,82,361,0.185102,1,0.744548,1,0.255452,0.853571,0.470674,2.124611,0.049779
86,239,0,81,362,0.182844,1,0.746875,1,0.253125,0.855098,0.469208,2.13125,0.050372
87,239,0,80,363,0.180587,1,0.749216,1,0.250784,0.856631,0.467742,2.137931,0.051314
88,239,0,79,364,0.17833,1,0.751572,1,0.248428,0.858169,0.466276,2.144654,0.051527
89,239,0,78,365,0.176072,1,0.753943,1,0.246057,0.859712,0.464809,2.15142,0.052294
90,239,0,77,366,0.173815,1,0.756329,1,0.243671,0.861261,0.463343,2.158228,0.054465
91,239,0,76,367,0.171558,1,0.75873,1,0.24127,0.862816,0.461877,2.165079,0.054879
92,239,0,75,368,0.1693,1,0.761146,1,0.238854,0.864376,0.460411,2.171975,0.055995
93,239,0,74,369,0.167043,1,0.763578,1,0.236422,0.865942,0.458944,2.178914,0.056336
94,239,0,73,370,0.164786,1,0.766026,1,0.233974,0.867514,0.457478,2.185897,0.057242
95,239,0,72,371,0.162528,1,0.768489,1,0.231511,0.869091,0.456012,2.192926,0.058185
96,239,0,70,373,0.158014,1,0.773463,1,0.226537,0.872263,0.453079,2.20712,0.058551
97,239,0,69,374,0.155756,1,0.775974,1,0.224026,0.873857,0.451613,2.214286,0.059484
98,239,0,68,375,0.153499,1,0.778502,1,0.221498,0.875458,0.450147,2.221498,0.059491
99,239,0,67,376,0.151242,1,0.781046,1,0.218954,0.877064,0.44868,2.228758,0.062216
100,239,0,64,379,0.14447,1,0.788779,1,0.211221,0.881919,0.444282,2.250825,0.06289
101,239,0,63,380,0.142212,1,0.791391,1,0.208609,0.883549,0.442815,2.258278,0.063625
102,239,0,62,381,0.139955,1,0.79402,1,0.20598,0.885185,0.441349,2.265781,0.069916
103,239,0,61,382,0.137698,1,0.796667,1,0.203333,0.886827,0.439883,2.273333,0.072506
104,239,0,60,383,0.13544,1,0.799331,1,0.200669,0.888476,0.438416,2.280936,0.073294
105,239,0,59,384,0.133183,1,0.802013,1,0.197987,0.89013,0.43695,2.288591,0.077905
106,239,0,58,385,0.130926,1,0.804714,1,0.195286,0.891791,0.435484,2.296296,0.078756
107,239,0,57,386,0.128668,1,0.807432,1,0.192568,0.893458,0.434018,2.304054,0.080583
108,239,0,56,387,0.126411,1,0.810169,1,0.189831,0.895131,0.432551,2.311864,0.081107
109,239,0,55,388,0.124153,1,0.812925,1,0.187075,0.896811,0.431085,2.319728,0.09014
110,239,0,54,389,0.121896,1,0.8157,1,0.1843,0.898496,0.429619,2.327645,0.090495
111,239,0,53,390,0.119639,1,0.818493,1,0.181507,0.900188,0.428152,2.335616,0.092901
112,238,1,53,390,0.119639,0.995816,0.817869,0.995816,0.182131,0.898113,0.426686,2.333837,0.09365
113,238,1,52,391,0.117381,0.995816,0.82069,0.995816,0.17931,0.899811,0.42522,2.341884,0.10141
114,238,1,51,392,0.115124,0.995816,0.823529,0.995816,0.176471,0.901515,0.423754,2.349988,0.101981
115,238,1,50,393,0.112867,0.995816,0.826389,0.995816,0.173611,0.903226,0.422287,2.358147,0.106069
116,238,1,49,394,0.110609,0.995816,0.829268,0.995816,0.170732,0.904943,0.420821,2.366364,0.112005
117,238,1,48,395,0.108352,0.995816,0.832168,0.995816,0.167832,0.906667,0.419355,2.374638,0.11499
118,238,1,47,396,0.106095,0.995816,0.835088,0.995816,0.164912,0.908397,0.417889,2.38297,0.119725
119,238,1,45,398,0.10158,0.995816,0.840989,0.995816,0.159011,0.911877,0.414956,2.399811,0.122
120,238,1,44,399,0.099323,0.995816,0.843972,0.995816,0.156028,0.913628,0.41349,2.408321,0.128288
121,238,1,43,400,0.097065,0.995816,0.846975,0.995816,0.153025,0.915385,0.412023,2.416891,0.13734
122,238,1,42,401,0.094808,0.995816,0.85,0.995816,0.15,0.917148,0.410557,2.425523,0.143125
