@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
241,154,85,3,440,0.006772,0.644351,0.980892,0.644351,0.019108,0.777778,0.230205,2.79903,0.99939
242,153,86,3,440,0.006772,0.640167,0.980769,0.640167,0.019231,0.774684,0.228739,2.79868,0.999435
243,152,87,3,440,0.006772,0.635983,0.980645,0.635983,0.019355,0.771574,0.227273,2.798326,0.999444
244,151,88,3,440,0.006772,0.631799,0.980519,0.631799,0.019481,0.768448,0.225806,2.797968,0.999481
245,150,89,3,440,0.006772,0.627615,0.980392,0.627615,0.019608,0.765306,0.22434,2.797604,0.99955
246,149,90,3,440,0.006772,0.623431,0.980263,0.623431,0.019737,0.762148,0.222874,2.797236,0.999596
247,148,91,3,440,0.006772,0.619247,0.980132,0.619247,0.019868,0.758974,0.221408,2.796863,0.999624
248,147,92,3,440,0.006772,0.615063,0.98,0.615063,0.02,0.755784,0.219941,2.796485,0.999634
249,146,93,3,440,0.006772,0.610879,0.979866,0.610879,0.020134,0.752577,0.218475,2.796102,0.999637
250,145,94,3,440,0.006772,0.606695,0.97973,0.606695,0.02027,0.749354,0.217009,2.795714,0.999639
251,145,94,2,441,0.004515,0.606695,0.986395,0.606695,0.013605,0.751295,0.215543,2.814733,0.999644
252,144,95,2,441,0.004515,0.60251,0.986301,0.60251,0.013699,0.748052,0.214076,2.814467,0.999644
253,143,96,2,441,0.004515,0.598326,0.986207,0.598326,0.013793,0.744792,0.21261,2.814197,0.999651
254,142,97,2,441,0.004515,0.594142,0.986111,0.594142,0.013889,0.741514,0.211144,2.813924,0.999666
255,141,98,2,441,0.004515,0.589958,0.986014,0.589958,0.013986,0.73822,0.209677,2.813647,0.999684
256,140,99,2,441,0.004515,0.585774,0.985915,0.585774,0.014085,0.734908,0.208211,2.813366,0.999694
257,139,100,2,441,0.004515,0.58159,0.985816,0.58159,0.014184,0.731579,0.206745,2.813081,0.999743
258,138,101,2,441,0.004515,0.577406,0.985714,0.577406,0.014286,0.728232,0.205279,2.812791,0.999759
259,137,102,2,441,0.004515,0.573222,0.985612,0.573222,0.014388,0.724868,0.203812,2.812498,0.999774
260,135,104,2,441,0.004515,0.564854,0.985401,0.564854,0.014599,0.718085,0.20088,2.811899,0.999778
261,134,105,2,441,0.004515,0.560669,0.985294,0.560669,0.014706,0.714667,0.199413,2.811592,0.99978
262,133,106,2,441,0.004515,0.556485,0.985185,0.556485,0.014815,0.71123,0.197947,2.811282,0.999785
263,132,107,2,441,0.004515,0.552301,0.985075,0.552301,0.014925,0.707775,0.196481,2.810966,0.999787
264,131,108,2,441,0.004515,0.548117,0.984962,0.548117,0.015038,0.704301,0.195015,2.810646,0.999794
265,130,109,2,441,0.004515,0.543933,0.984848,0.543933,0.015152,0.700809,0.193548,2.810321,0.999818
266,129,110,2,441,0.004515,0.539749,0.984733,0.539749,0.015267,0.697297,0.192082,2.809991,0.999826
267,128,111,2,441,0.004515,0.535565,0.984615,0.535565,0.015385,0.693767,0.190616,2.809656,0.999834
268,127,112,2,441,0.004515,0.531381,0.984496,0.531381,0.015504,0.690217,0.18915,2.809315,0.999835
269,126,113,2,441,0.004515,0.527197,0.984375,0.527197,0.015625,0.686649,0.187683,2.80897,0.999844
270,125,114,2,441,0.004515,0.523013,0.984252,0.523013,0.015748,0.68306,0.186217,2.808619,0.999848
271,124,115,2,441,0.004515,0.518828,0.984127,0.518828,0.015873,0.679452,0.184751,2.808262,0.999853
272,123,116,2,441,0.004515,0.514644,0.984,0.514644,0.016,0.675824,0.183284,2.8079,0.999864
273,122,117,2,441,0.004515,0.51046,0.983871,0.51046,0.016129,0.672176,0.181818,2.807531,0.999868
274,121,118,2,441,0.004515,0.506276,0.98374,0.506276,0.01626,0.668508,0.180352,2.807157,0.999882
275,120,119,2,441,0.004515,0.502092,0.983607,0.502092,0.016393,0.66482,0.178886,2.806777,0.999885
276,119,120,2,441,0.004515,0.497908,0.983471,0.497908,0.016529,0.661111,0.177419,2.80639,0.999894
277,118,121,2,441,0.004515,0.493724,0.983333,0.493724,0.016667,0.657382,0.175953,2.805997,0.999895
278,118,121,1,442,0.002257,0.493724,0.991597,0.493724,0.008403,0.659218,0.174487,2.829577,0.999896
279,117,122,1,442,0.002257,0.48954,0.991525,0.48954,0.008475,0.655462,0.173021,2.829374,0.999896
280,116,123,1,442,0.002257,0.485356,0.991453,0.485356,0.008547,0.651685,0.171554,2.829167,0.999897
281,115,124,1,442,0.002257,0.481172,0.991379,0.481172,0.008621,0.647887,0.170088,2.828957,0.9999
282,114,125,1,442,0.002257,0.476987,0.991304,0.476987,0.008696,0.644068,0.168622,2.828743,0.999923
283,113,126,1,442,0.002257,0.472803,0.991228,0.472803,0.008772,0.640227,0.167155,2.828525,0.999931
284,112,127,1,442,0.002257,0.468619,0.99115,0.468619,0.00885,0.636364,0.165689,2.828304,0.999932
285,111,128,1,442,0.002257,0.464435,0.991071,0.464435,0.008929,0.632479,0.164223,2.828078,0.999934
286,110,129,1,442,0.002257,0.460251,0.990991,0.460251,0.009009,0.628571,0.162757,2.827849,0.999935
287,109,130,1,442,0.002257,0.456067,0.990909,0.456067,0.009091,0.624642,0.16129,2.827615,0.999938
288,108,131,1,442,0.002257,0.451883,0.990826,0.451883,0.009174,0.62069,0.159824,2.827377,0.999941
289,107,132,1,442,0.002257,0.447699,0.990741,0.447699,0.009259,0.616715,0.158358,2.827135,0.999942
290,106,133,1,442,0.002257,0.443515,0.990654,0.443515,0.009346,0.612717,0.156891,2.826888,0.999947
291,105,134,1,442,0.002257,0.439331,0.990566,0.439331,0.009434,0.608696,0.155425,2.826636,0.999953
292,104,135,1,442,0.002257,0.435146,0.990476,0.435146,0.009524,0.604651,0.153959,2.82638,0.999953
293,103,136,1,442,0.002257,0.430962,0.990385,0.430962,0.009615,0.600583,0.152493,2.826118,0.999954
294,102,137,1,442,0.002257,0.426778,0.990291,0.426778,0.009709,0.596491,0.151026,2.825852,0.999956
295,100,139,1,442,0.002257,0.41841,0.990099,0.41841,0.009901,0.588235,0.148094,2.825303,0.999957
296,99,140,1,442,0.002257,0.414226,0.99,0.414226,0.01,0.584071,0.146628,2.825021,0.99996
297,98,141,1,442,0.002257,0.410042,0.989899,0.410042,0.010101,0.579882,0.145161,2.824733,0.999961
298,97,142,1,442,0.002257,0.405858,0.989796,0.405858,0.010204,0.575668,0.143695,2.824439,0.999962
299,96,143,1,442,0.002257,0.401674,0.989691,0.401674,0.010309,0.571429,0.142229,2.824138,0.999962
300,95,144,1,442,0.002257,0.39749,0.989583,0.39749,0.010417,0.567164,0.140762,2.823832,0.999966
301,94,145,1,442,0.002257,0.393305,0.989474,0.393305,0.010526,0.562874,0.139296,2.823519,0.999967
302,94,145,0,443,0,0.393305,1,0.393305,0,0.564565,0.13783,2.853556,0.999968
303,93,146,0,443,0,0.389121,1,0.389121,0,0.560241,0.136364,2.853556,0.999969
304,92,147,0,443,0,0.384937,1,0.384937,0,0.555891,0.134897,2.853556,0.999969
305,91,148,0,443,0,0.380753,1,0.380753,0,0.551515,0.133431,2.853556,0.999971
306,90,149,0,443,0,0.376569,1,0.376569,0,0.547112,0.131965,2.853556,0.999973
307,89,150,0,443,0,0.372385,1,0.372385,0,0.542683,0.130499,2.853556,0.999973
308,88,151,0,443,0,0.368201,1,0.368201,0,0.538226,0.129032,2.853556,0.999976
309,87,152,0,443,0,0.364017,1,0.364017,0,0.533742,0.127566,2.853556,0.999977
310,86,153,0,443,0,0.359833,1,0.359833,0,0.529231,0.1261,2.853556,0.999978
311,85,154,0,443,0,0.355649,1,0.355649,0,0.524691,0.124633,2.853556,0.999979
312,84,155,0,443,0,0.351464,1,0.351464,0,0.520124,0.123167,2.853556,0.999979
313,83,156,0,443,0,0.34728,1,0.34728,0,0.515528,0.121701,2.853556,0.999979
314,82,157,0,443,0,0.343096,1,0.343096,0,0.510903,0.120235,2.853556,0.99998
315,81,158,0,443,0,0.338912,1,0.338912,0,0.50625,0.118768,2.853556,0.999982
316,80,159,0,443,0,0.334728,1,0.334728,0,0.501567,0.117302,2.853556,0.999982
317,79,160,0,443,0,0.330544,1,0.330544,0,0.496855,0.115836,2.853556,0.999982
318,78,161,0,443,0,0.32636,1,0.32636,0,0.492114,0.11437,2.853556,0.999982
319,77,162,0,443,0,0.322176,1,0.322176,0,0.487342,0.112903,2.853556,0.999983
320,76,163,0,443,0,0.317992,1,0.317992,0,0.48254,0.111437,2.853556,0.999985
321,75,164,0,443,0,0.313808,1,0.313808,0,0.477707,0.109971,2.853556,0.999985
322,74,165,0,443,0,0.309623,1,0.309623,0,0.472843,0.108504,2.853556,0.999988
323,73,166,0,443,0,0.305439,1,0.305439,0,0.467949,0.107038,2.853556,0.999988
324,72,167,0,443,0,0.301255,1,0.301255,0,0.463023,0.105572,2.853556,0.999989
325,71,168,0,443,0,0.297071,1,0.297071,0,0.458065,0.104106,2.853556,0.99999
326,70,169,0,443,0,0.292887,1,0.292887,0,0.453074,0.102639,2.853556,0.99999
327,69,170,0,443,0,0.288703,1,0.288703,0,0.448052,0.101173,2.853556,0.999991
328,68,171,0,443,0,0.284519,1,0.284519,0,0.442997,0.099707,2.853556,0.999992
329,67,172,0,443,0,0.280335,1,0.280335,0,0.437908,0.09824,2.853556,0.999992
330,66,173,0,443,0,0.276151,1,0.276151,0,0.432787,0.096774,2.853556,0.999992
331,65,174,0,443,0,0.271967,1,0.271967,0,0.427632,0.095308,2.853556,0.999992
332,64,175,0,443,0,0.267782,1,0.267782,0,0.422442,0.093842,2.853556,0.999992
333,63,176,0,443,0,0.263598,1,0.263598,0,0.417219,0.092375,2.853556,0.999993
334,62,177,0,443,0,0.259414,1,0.259414,0,0.41196,0.090909,2.853556,0.999993
335,61,178,0,443,0,0.25523,1,0.25523,0,0.406667,0.089443,2.853556,0.999994
336,60,179,0,443,0,0.251046,1,0.251046,0,0.401338,0.087977,2.853556,0.999994
337,59,180,0,443,0,0.246862,1,0.246862,0,0.395973,0.08651,2.853556,0.999994
338,58,181,0,443,0,0.242678,1,0.242678,0,0.390572,0.085044,2.853556,0.999995
339,57,182,0,443,0,0.238494,1,0.238494,0,0.385135,0.083578,2.853556,0.999995
340,56,183,0,443,0,0.23431,1,0.23431,0,0.379661,0.082111,2.853556,0.999996
341,55,184,0,443,0,0.230126,1,0.230126,0,0.37415,0.080645,2.853556,0.999996
342,54,185,0,443,0,0.225941,1,0.225941,0,0.368601,0.079179,2.853556,0.999996
343,53,186,0,443,0,0.221757,1,0.221757,0,0.363014,0.077713,2.853556,0.999996
344,52,187,0,443,0,0.217573,1,0.217573,0,0.357388,0.076246,2.853556,0.999996
345,51,188,0,443,0,0.213389,1,0.213389,0,0.351724,0.07478,2.853556,0.999996
346,50,189,0,443,0,0.209205,1,0.209205,0,0.346021,0.073314,2.853556,0.999997
347,49,190,0,443,0,0.205021,1,0.205021,0,0.340278,0.071848,2.853556,0.999997
348,48,191,0,443,0,0.200837,1,0.200837,0,0.334495,0.070381,2.853556,0.999997
349,47,192,0,443,0,0.196653,1,0.196653,0,0.328671,0.068915,2.853556,0.999998
350,46,193,0,443,0,0.192469,1,0.192469,0,0.322807,0.067449,2.853556,0.999998
351,45,194,0,443,0,0.188285,1,0.188285,0,0.316901,0.065982,2.853556,0.999998
352,44,195,0,443,0,0.1841,1,0.1841,0,0.310954,0.064516,2.853556,0.999998
353,43,196,0,443,0,0.179916,1,0.179916,0,0.304965,0.06305,2.853556,0.999998
354,42,197,0,443,0,0.175732,1,0.175732,0,0.298932,0.061584,2.853556,0.999998
355,41,198,0,443,0,0.171548,1,0.171548,0,0.292857,0.060117,2.853556,0.999998
356,40,199,0,443,0,0.167364,1,0.167364,0,0.286738,0.058651,2.853556,0.999999
357,39,200,0,443,0,0.16318,1,0.16318,0,0.280576,0.057185,2.853556,0.999999
358,38,201,0,443,0,0.158996,1,0.158996,0,0.274368,0.055718,2.853556,0.999999
359,37,202,0,443,0,0.154812,1,0.154812,0,0.268116,0.054252,2.853556,0.999999
360,36,203,0,443,0,0.150628,1,0.150628,0,0.261818,0.052786,2.853556,0.999999
361,35,204,0,443,0,0.146444,1,0.146444,0,0.255474,0.05132,2.853556,0.999999
362,34,205,0,443,0,0.142259,1,0.142259,0,0.249084,0.049853,2.853556,0.999999
363,33,206,0,443,0,0.138075,1,0.138075,0,0.242647,0.048387,2.853556,0.999999
364,32,207,0,443,0,0.133891,1,0.133891,0,0.236162,0.046921,2.853556,0.999999
365,31,208,0,443,0,0.129707,1,0.129707,0,0.22963,0.045455,2.853556,0.999999
366,30,209,0,443,0,0.125523,1,0.125523,0,0.223048,0.043988,2.853556,0.999999
367,29,210,0,443,0,0.121339,1,0.121339,0,0.216418,0.042522,2.853556,1
368,27,212,0,443,0,0.112971,1,0.112971,0,0.203008,0.039589,2.853556,1
369,25,214,0,443,0,0.104603,1,0.104603,0,0.189394,0.036657,2.853556,1
370,24,215,0,443,0,0.100418,1,0.100418,0,0.18251,0.035191,2.853556,1
371,23,216,0,443,0,0.096234,1,0.096234,0,0.175573,0.033724,2.853556,1
372,22,217,0,443,0,0.09205,1,0.09205,0,0.168582,0.032258,2.853556,1
373,21,218,0,443,0,0.087866,1,0.087866,0,0.161538,0.030792,2.853556,1
374,20,219,0,443,0,0.083682,1,0.083682,0,0.15444,0.029326,2.853556,1
375,19,220,0,443,0,0.079498,1,0.079498,0,0.147287,0.027859,2.853556,1
376,18,221,0,443,0,0.075314,1,0.075314,0,0.140078,0.026393,2.853556,1
377,17,222,0,443,0,0.07113,1,0.07113,0,0.132813,0.024927,2.853556,1
378,15,224,0,443,0,0.062762,1,0.062762,0,0.11811,0.021994,2.853556,1
379,14,225,0,443,0,0.058577,1,0.058577,0,0.110672,0.020528,2.853556,1
380,13,226,0,443,0,0.054393,1,0.054393,0,0.103175,0.019062,2.853556,1
381,12,227,0,443,0,0.050209,1,0.050209,0,0.095618,0.017595,2.853556,1
382,11,228,0,443,0,0.046025,1,0.046025,0,0.088,0.016129,2.853556,1
383,10,229,0,443,0,0.041841,1,0.041841,0,0.080321,0.014663,2.853556,1
384,9,230,0,443,0,0.037657,1,0.037657,0,0.072581,0.013196,2.853556,1
385,7,232,0,443,0,0.029289,1,0.029289,0,0.056911,0.010264,2.853556,1
386,6,233,0,443,0,0.025105,1,0.025105,0,0.04898,0.008798,2.853556,1
387,3,236,0,443,0,0.012552,1,0.012552,0,0.024793,0.004399,2.853556,1
388,2,237,0,443,0,0.008368,1,0.008368,0,0.016598,0.002933,?,1
389,0,239,0,443,0,0,?,0,?,?,0,?,1.00001
